a,b,res
0.0,0.0,277253.93
0.0,0.01,406635.6
0.0,0.02,408532.46
0.0,0.03,409115.74
0.0,0.04,409866.4
0.0,0.05,412274.54000000004
0.0,0.06,415469.73
0.0,0.07,417521.44000000006
0.0,0.08,419070.82
0.0,0.09,419297.55000000005
0.0,0.1,420783.73
0.0,0.11,418240.69
0.0,0.12,417804.46
0.0,0.13,417245.36
0.0,0.14,418667.72
0.0,0.15,418927.48000000004
0.0,0.16,418608.1
0.0,0.17,418815.76
0.0,0.18,420019.01
0.0,0.19,419048.29000000004
0.0,0.2,420288.57
0.0,0.21,421493.13
0.0,0.22,421843.77
0.0,0.23,421843.77
0.0,0.24,422698.88
0.0,0.25,422894.4
0.0,0.26,423678.65
0.0,0.27,424088.6
0.0,0.28,423544.0
0.0,0.29,423745.28
0.0,0.3,424068.76999999996
0.0,0.31,424480.13
0.0,0.32,425077.57999999996
0.0,0.33,424926.38
0.0,0.34,425590.39
0.0,0.35000000000000003,425846.25
0.0,0.36,425908.93000000005
0.0,0.37,425987.98000000004
0.0,0.38,425958.18000000005
0.0,0.39,425878.15
0.0,0.4,426164.94
0.0,0.41000000000000003,426273.31
0.0,0.42,426504.67
0.0,0.43,426511.38
0.0,0.44,426582.20999999996
0.0,0.45,426458.86
0.0,0.46,426567.23
0.0,0.47000000000000003,426745.65
0.0,0.48,426833.55
0.0,0.49,426949.18
0.0,0.5,426949.18
0.0,0.51,426841.58999999997
0.0,0.52,426841.58999999997
0.0,0.53,426816.79000000004
0.0,0.54,426816.79000000004
0.0,0.55,426765.69
0.0,0.56,426191.85
0.0,0.5700000000000001,426235.95999999996
0.0,0.58,426345.92999999993
0.0,0.59,426345.92999999993
0.0,0.6,426304.93999999994
0.0,0.61,426287.64999999997
0.0,0.62,426287.64999999997
0.0,0.63,426591.83999999997
0.0,0.64,426591.83999999997
0.0,0.65,426538.29
0.0,0.66,426538.29
0.0,0.67,426538.29
0.0,0.68,426488.43
0.0,0.6900000000000001,426488.43
0.0,0.7000000000000001,426488.43
0.0,0.71,426488.43
0.0,0.72,426578.95
0.0,0.73,426578.95
0.0,0.74,426673.56
0.0,0.75,426673.56
0.0,0.76,426673.56
0.0,0.77,426673.56
0.0,0.78,426656.83999999997
0.0,0.79,426712.37
0.0,0.8,426659.9
0.0,0.81,426659.9
0.0,0.8200000000000001,426659.9
0.0,0.8300000000000001,426659.9
0.0,0.84,427076.29
0.0,0.85,427076.29
0.0,0.86,427076.29
0.0,0.87,427076.29
0.0,0.88,427076.29
0.0,0.89,427076.29
0.0,0.9,427076.29
0.0,0.91,427253.77
0.0,0.92,427253.77
0.0,0.93,427253.77
0.0,0.9400000000000001,427253.77
0.0,0.9500000000000001,427253.77
0.0,0.96,427342.54
0.0,0.97,427342.54
0.0,0.98,427342.54
0.0,0.99,427342.54
0.0,1.0,422973.76
0.01,0.0,279463.41000000003
0.01,0.01,405400.9
0.01,0.02,407687.05
0.01,0.03,409075.07999999996
0.01,0.04,409538.81000000006
0.01,0.05,412906.51
0.01,0.06,415648.36
0.01,0.07,418325.92000000004
0.01,0.08,418513.89
0.01,0.09,419599.9
0.01,0.1,421155.9
0.01,0.11,418496.76
0.01,0.12,418428.48
0.01,0.13,417695.44999999995
0.01,0.14,418986.8
0.01,0.15,419338.2
0.01,0.16,419123.51
0.01,0.17,419216.6
0.01,0.18,419412.23000000004
0.01,0.19,420457.81
0.01,0.2,420823.45999999996
0.01,0.21,421795.48
0.01,0.22,422146.12
0.01,0.23,422289.1
0.01,0.24,422763.89999999997
0.01,0.25,423761.19999999995
0.01,0.26,423981.0
0.01,0.27,424304.8
0.01,0.28,423799.67
0.01,0.29,424280.6
0.01,0.3,424548.44999999995
0.01,0.31,425044.42000000004
0.01,0.32,425379.93
0.01,0.33,425537.18
0.01,0.34,426020.67
0.01,0.35000000000000003,426148.6
0.01,0.36,426211.28
0.01,0.37,426260.52999999997
0.01,0.38,426260.52999999997
0.01,0.39,426288.87
0.01,0.4,426467.29000000004
0.01,0.41000000000000003,426873.60000000003
0.01,0.42,426901.63
0.01,0.43,426821.31
0.01,0.44,426884.56
0.01,0.45,426761.20999999996
0.01,0.46,426960.1
0.01,0.47000000000000003,427048.0
0.01,0.48,427226.42
0.01,0.49,427251.52999999997
0.01,0.5,427253.91
0.01,0.51,427143.93999999994
0.01,0.52,427143.93999999994
0.01,0.53,427119.14
0.01,0.54,427068.04
0.01,0.55,427068.04
0.01,0.56,426564.3
0.01,0.5700000000000001,426648.28
0.01,0.58,426648.28
0.01,0.59,426648.28
0.01,0.6,426607.29000000004
0.01,0.61,426590.0
0.01,0.62,426590.0
0.01,0.63,426894.19
0.01,0.64,426840.64
0.01,0.65,426840.64
0.01,0.66,426840.64
0.01,0.67,426790.78
0.01,0.68,426790.78
0.01,0.6900000000000001,426790.78
0.01,0.7000000000000001,426790.78
0.01,0.71,426790.78
0.01,0.72,426881.3
0.01,0.73,426975.91
0.01,0.74,426975.91
0.01,0.75,426975.91
0.01,0.76,426975.91
0.01,0.77,426959.19
0.01,0.78,427014.72000000003
0.01,0.79,426962.25
0.01,0.8,426962.25
0.01,0.81,426962.25
0.01,0.8200000000000001,426962.25
0.01,0.8300000000000001,427378.64
0.01,0.84,427378.64
0.01,0.85,427378.64
0.01,0.86,427378.64
0.01,0.87,427378.64
0.01,0.88,427378.64
0.01,0.89,427378.64
0.01,0.9,427378.64
0.01,0.91,427556.12
0.01,0.92,427556.12
0.01,0.93,427556.12
0.01,0.9400000000000001,427467.92
0.01,0.9500000000000001,427494.5
0.01,0.96,426853.17
0.01,0.97,425370.41000000003
0.01,0.98,424048.39
0.01,0.99,419672.43
0.01,1.0,419365.41000000003
0.02,0.0,279463.41000000003
0.02,0.01,404632.51
0.02,0.02,407297.76
0.02,0.03,408602.47000000003
0.02,0.04,408379.20999999996
0.02,0.05,411260.76
0.02,0.06,415860.12
0.02,0.07,418790.80000000005
0.02,0.08,419175.32
0.02,0.09,419533.31999999995
0.02,0.1,421486.54000000004
0.02,0.11,418685.6
0.02,0.12,418237.38
0.02,0.13,417938.36
0.02,0.14,418942.83999999997
0.02,0.15,419147.1
0.02,0.16,418794.97
0.02,0.17,419025.5
0.02,0.18,419245.99000000005
0.02,0.19,420457.81
0.02,0.2,421488.74
0.02,0.21,421859.9
