request_calc_id,product_type,bank_id,target,position,revenue,rank_true,rank_pred,score,bank_name
00011f01-fd69-45a7-8c60-6198bf35aa14,Кредиты,170,1.0,1,123.41,1.0,2.0,0.03883051621745089,Совкомбанк
00011f01-fd69-45a7-8c60-6198bf35aa14,Микрокредиты,194902,0.0,3,218.02,2.0,1.0,0.654296875,Займер
003a1e7b-4788-4c55-bff8-b6a69d528fbd,Микрокредиты,196779,0.0,19,213.49,1.0,1.0,0.22970159611380986,До зарплаты
003a1e7b-4788-4c55-bff8-b6a69d528fbd,Микрокредиты,209044,0.0,20,137.18,2.0,3.0,0.1891117478510029,Credit7
003a1e7b-4788-4c55-bff8-b6a69d528fbd,Микрокредиты,7778241,1.0,21,55.4,3.0,2.0,0.22970159611380986,А деньги
003a1e7b-4788-4c55-bff8-b6a69d528fbd,Микрокредиты,146714,0.0,25,60.16,4.0,4.0,0.17264081931236283,Е заем
0053b916-8edb-49b8-88a8-a7a505d07331,Кредитные карты,276,0.0,1,0.0,1.0,15.0,0.009499136442141624,Сбербанк
0053b916-8edb-49b8-88a8-a7a505d07331,Кредиты,170,1.0,3,123.41,2.0,11.0,0.08641160949868076,Совкомбанк
0053b916-8edb-49b8-88a8-a7a505d07331,Кредитные карты,170,0.0,4,35.21,3.0,6.0,0.14630467571644043,Совкомбанк
0053b916-8edb-49b8-88a8-a7a505d07331,Микрокредиты,194902,0.0,5,218.02,4.0,1.0,0.654296875,Займер
0053b916-8edb-49b8-88a8-a7a505d07331,Микрокредиты,191204,0.0,6,211.31,5.0,7.0,0.1395973154362416,One click money
0053b916-8edb-49b8-88a8-a7a505d07331,Микрокредиты,150495,0.0,7,231.78,6.0,2.0,0.2572741194486983,Веб-займ
0053b916-8edb-49b8-88a8-a7a505d07331,Микрокредиты,156561,0.0,9,140.7,7.0,3.0,0.1891117478510029,Webbankir
0053b916-8edb-49b8-88a8-a7a505d07331,Микрокредиты,165221,0.0,10,193.51,8.0,4.0,0.17264081931236283,Турбозайм
0053b916-8edb-49b8-88a8-a7a505d07331,Микрокредиты,165738,0.0,11,300.66,9.0,12.0,0.07002518891687658,Деньги на дом
0053b916-8edb-49b8-88a8-a7a505d07331,Микрокредиты,201603,0.0,15,69.48,10.0,13.0,0.04459016393442623,Деньги сразу
0053b916-8edb-49b8-88a8-a7a505d07331,Микрокредиты,194904,0.0,17,82.18,11.0,9.0,0.0975609756097561,Joymoney
0053b916-8edb-49b8-88a8-a7a505d07331,Микрокредиты,209119,0.0,18,133.6,12.0,10.0,0.08980355472404115,Надо денег
